영화평점,영화감상평
6,진짜 cg 멋지긴한데..중간에 진짜 지루함..어쩌라는 건지 모르겠음...스토리도..걍 단순..가족 지키자..그냥 그랬어요...마지막이 그래도 좀 재밌었고...
1,더 나은 속편은 역시 어려움참신한 것도 없고 자다깨다 연속... 힘들게 버팀3편은 곧 나올듯 끝남
1,진짜 여기 댓글다는 사람들 양심 국 끓여 먹었냐? 아님 초딩이야 이게 잼있어? 참나
7,클래스는 역시 영원하다
2,너무 기대를 많이 가면 안된다. 기대에 훨씬 못미침. 전편보다 스토리의 퀄리티가 떨어짐 보다가 졸뻔..ㅋ 간단하게 설명하자면 노.잼.
10,"러닝타임이 전혀 지루하지 않을 정도로 놀랍도록 재밌었어요. CG는 이제 인간의 영역은 넘어선 듯 합니다.ㅋㅋ 영화가 정말 아름다워요. 스토리나 OST 모두 흠 잡을 곳 없고, 보시게 된다면 절대 후회 없으실 겁니다. 강력 추천!!"
10,최고임 3d로보시길 추천드림
1,영상은 좋았으나 예전 제임스 카메론 영화에서 봐왔던 훌륭한 플롯은 없음. 누릴거 다 누리고 사는 양반이 환경문제로 인간을 악마로 (실제 대사임) 매도시키면 위선자로 밖에 안 보임.
10,개인적으로 1보다 훨씬재밌어요 3시간이지만 시간이 정말 빨리지나감 감동적이고 재밌음
10,3시간에 겁먹지말고 아쉬워해라 높은 몰입감으로 영화에 빠져 교감하는 시가들이었다
2,그 냥 정 말 발 암 영 화 입 니 다
6,짱구네가족 파이어! 로 정리되는 영화지만 영상미 넘침
10,울면서봤다 나만 울면서 봤는가3를위해 2편은 꼭있어야 하는영화였고감정씬이 주를있는영화여서 난더좋았다
10,3시간이 빨리 지나갈 정도로 몰입하며 봤네요
8,자식이 너무 많아서 스트레스 받았음.. 2명정도였으면 몰입 더 잘됐을듯
10,진짜 개미친영화 와 이건 미친영화
10,스토리도 저는 좋았습니다CG는 말이 필요 없고요
10,두번 봤는데 또 보고 싶네요
7,초반 지루.. 후반 재밌. 영상미 잘 모르겠..기대 안 하면 괜춘.영화 무지 깁니다~
10,아바타 사랑해요 초딩때와 변함없이 아바타2도 인생영화 등극
8,액션은 솔직히 1편보다 아쉽긴 했지만 스토리텔링이 되게 좋았고 퀄리티 영상미 그래픽이 수준이상이었다!심지어 3D로 보니 더 입체적이니 더할말이...
2,와진짜 돈아까워서 안졸려구 노력했지만..눈감기는고비 열번넘음 .안존건 인간승리
10,"오랜만에 스케일 큰 sf영화.. 너무 좋아요. 감동과 교훈.. 지루하지않고 시간가는줄도 몰랐네요. 크리스마스 마무리하기 좋았어요. 진짜 13년 존버하길 잘했네요ㅠㅠ 빨리 3탄 내놔요. 3시간 내내 잠수하고 있는 기분, 너무 아름다운 자연...!!! 영상미가 대박임 ㅠㅠ"
10,영상 혁명 그자체
10,모든 게 마지막 40분을 위한 빌드업이었던 것 같네요 약간 루즈한 감이 있었지만 재밌었습니다 가족애를 위대하게 보여준 영화입니다근데 너무 길어서 허리가 약간 박살날 것 같아요
10,3시간 넘는 긴 시간이였지만 짧게만 느껴졌고 보는내내 경이롭다라는 말이 아깝지 안았으며 가족애를 느낄수 있어서 더한 감동이 있었고 다시 보고 또보고 싶을만큼 올해 최고의 영화인것 같아여^^
10,진짜 1편하고 2편을 보면서 느끼는건데 배경이 진짜 이뻐요!
10,보는 내내 생각 난 주우재 역시 아바타 압도 당했다
6,시간이 너무 길어서 중간에 꿀잠잤다바다 속 cg는 인정메리크리스마스
10,"""우리는 모두 에너지를 빌려온 것 뿐이다"""
10,영상 짱~ 아쿠아리움보다 더 멋짐~
10,세시간 금방간다.끝나고나니 엉덩이아프다
10,현실에서는 볼수없는 가상체험의 느낌
9,엄청난 영화 하지만 1을 뛰어넘진 못한
8,좋게 말하면 영화 역사상 돈주고 살 수 있는 최고 그 이상의 경험 스트리밍 시장이 대세인 현재 왜 극장이 존재해야 하는지에 대한 확실한 이유이자 보증 나쁘게 말하면 판도라 해양 다큐멘터리 종족 간의 전쟁에서 개인 간의 갈등으로 축소된 액션이 아쉽지만 수없이 뿌려진 흥미진진한 떡밥은 충분히 3편을 기대하게 만든다
10,진짜 너무 재밌다제발 대박 터져서 5편까지 나왔으면ㅜㅜ
10,"3시간 ? 진짜 순삭 지루함은 1도 못느낌 액션, 영상미, 연기력, 스토리 등등 하나도 놓치지 않은 영화임. 심지어 슬퍼 ㅠ 눈물나고 . 인간이 제일 잔인해 진짜 … 같이 숨참으먄서 봤다 ㅠ"
10,말이필요없다 영상 고퀄
8,정신차리고 보세요잠들기 쉽상입니다.
10,3시간이라며뭐고 벌써 끝났누
10,누가 이 영화를 감히 평가할 수 있을까요?
1,최악이었습니다스토리가 처참했어요
10,신세계다. 현재 기술로 구현가능한 최고의 영화. 남녀노소 모두에게 추천합니다
10,너무 예쁘고 신비한 바다여행을 하는 것 같습니다. 꼭 보세요. 진짜 3시간이 30분 같아요.
10,물속에서 교감하는 거 힐링
10,"1. 실로 경이로운 영상, 관람이 아니라 나비족과 함께 판도라를 체험한다.2. 다양해진 캐릭터와 배경, 그에 따라 추가된 각자의 서사. 펼처놓은 이야기는 많으나 그 깊이가 전작보다 얕다. 아마도 3,4,5편을 통해 더욱 심화되고 확장될 듯.3. 다문화 가정을 표방한 가족의 형태, 자아정체성, 자연과 문명의 대립과 공존 등 여러 주제를 담고있다. 물론 전편과 동일하게 인간=악, 나비족=선의 구도로 권선징악의 큰 틀 안에서 풀어낸다.4. 아바타 세계관을 창조하고 스크린으로 구현해낸 제임스 카메론 감독에게 아낌없는 박수를..."
10,타이타닉 감독이라 그런지 배가 침물할 때 타이타닉 생각나기는 했어요 또 가족이 소중히 여길 때 알리타 생각나기도 했구요
9,그냥저냥 볼만합니다
2,다신 안봄 카메론 감떨어진듯
10,13년 전 추억을 되찾으러 왔고 그 13년의 추억을 제대로 보답함 너무 좋았음 그래픽? 연출? 이건 말은 안해도 알거라고 봅니다
6,스토리는 어느정도 예상 가능하게 흘러감. 중간에 좀 졸뻔했지만 후반은 엄청 집중해서 봄. 좀 짧게 임팩트 있게했어도 더 나았을 듯
6,유치한 스팩터클
1,재미 ㅈㄴㅇㅇ 절대보지마셈 돈 아깝고 시간 아까움 ㅋㅋ
10,굿~~~~최고입니다
2,....망작... 3은 안볼것같다..
10,돌비시네마 3d로 오늘 보고 왔어요.돈이 아깝지가 않았어요.
10,역시 제임스 카메룬입니다. 스킨스쿠바를 하는 저 같은 사람들에 딱 좋아할만한 아름다운 바다속 풍경을 멋지게 그렸네요.너무 멋있네요. 한번 더 봐야할 듯..
10,3시간이 지루하지 않을만큼 볼 거리가 많은 영화
10,“크아아악”사랑.상생.보호
4,하... 10년을 기대했는데.. 솔직히 막 지루하진 읺음.. 근데 여운과 스토리텔링과 스펙타클함이 하나도없음.. 제임스카메룬한테 처음으로 대실망한 영화. 22년 블록버스터 대충 생각나는 것중에서 나열하면 스파이더맨 >>>> 아바타2 >>>>닥스 토르 등
9,재밌게 잘봤습니다!!
10,4dx강추 영상미가 내인생 최고
10,3D어지러워서 못보는데... 이건 정말 대박입니다^^ 보통 앞자리 잘 안하는데 늦게예매해서 앞에서 세번째 앉았는데도 더 좋았어요 정말 환상 그 잡채 !!!
10,역대급 영화입니다. 3시간이 전혀 지루하지 않게 지나갔네요. 영상미가 엄청납니다.
10,모든 영화관람비가 동일하다는건 불공평하다는걸 아바타를 보고 느꼈습니다. 감독에게 팁을 줄 수 있다면 주고 싶은 영화. 영화기술의 성장과 현재가 2022년이라는걸 실감나게 하는 연출과 CG 디테일 ... 3시간이였지만 산호초족속과 3개월간 함께 동거동락한 기분입니다. 역대 최대의 작품
1,이게 재밌냐 진짜 ㅋㅋ 양키갬성
10,진짜 미친 것 같다….10점만점에 100점 주고싶다.아름답고 경이롭고 환상적이다.
5,A가 납치되면 B가 들어가고 다시 C가 들어가고A가나오면 다시들어가고제대로된 스토리가 없다
6,여기 리뷰들 다 알바쓰나?욜만에 극장에서 졸았다
10,첫째로써 첫째의 서러움을 느끼며 울었음..
10,Cg와 그래픽기술에 황홀
10,춥고 귀찮다고 동네에서 보면 후회함 무조건 화면 크고 화질좋은 극장 아이맥스 3D로 보세요
10,CG가 상당히 야무지긴하네
10,아바타가 아바타했네!!!!
10,일단 봐 개꿀잼 세시간반 순삭
10,2번 보고 두번 다 굉굉울었어요ㅠ 다음편도 기대중입니다
1,재미없다들어도 그래도 오랜만 아바타나와서 보러갔는데 기대안했는데도 재미없음 ㄹㅇ 누가 다큐멘터리본것같다는 글 기억이나는데 진짜임.... 재미 감동 둘다없음
10,재밌게봤다 음..영상미는 좋았다
10,딱 한 줄로 정리하자면 아바타가 아바타했다
10,이거 3시간 길다 지루하다 입맛대로 입놀린 사람들 나랑 다른 영화본거임?퀄리티는 무슨 10년뒤 영화 보는듯했고연기? 애들 연기하는거보고 내가 뭉클해졌음 네이티리 우는거보고 ㅈㄴ 펑펑울었다
10,너무길다고 하는사람들은 그냥 대충 시간 때우거나 관심없는사람들이 유명해지니까 본거..
10,영상미가 진짜 미쳤습니다... 스토리 구성에도 놀라고 진짜 이건... 꼭 보세요 돈과 시간이 아깝지 않습니다!!!
10,재밌어서 계속 보고싶다
10,"내용보통, 영상미 압도"
10,10점 주려고 왔습니다
7,영상과 기술력은 10점스토리/개연성은 4점
10,믿고 보는 아바타 입니다
3,전쟁씬 너무 아쉬웠다 ㄹㅇ 진짜 어릴때 아바타1 전쟁씬 보고 겁나 좋아했는데 이번편은 좀 아쉬웠음 그리고 둘째 아들 말좀 듣어라!!!
10,언제 3시간 지난거누....
10,많은 메세지들이 담겨져 있는데 그런것들이 뻔하지않고 마음에 울림을 주어서 너무 재밌게 잘 봤어요! 고퀄리티 연출효과는 말할 것도 없구요!! 세시간이 삼십분같이 느껴지는 마법
10,2D로 봤는데 너무 재밌게 잘 봤어요…ㅜㅜ아직더 여운이 있네요.
10,너무 재밌고 이거 재미없다는 사람 사이코패스임
4,사실상 후반 3~40분 가량을 제외한 시간은 수중 생태 다큐에 불과
10,다소 스토리는 아쉽지만 눈뽕은 제대로네요. 경이로워요 새로운 행성을 보고온 느낌
10,I see you James Cameron
10,세시간내내 몰입해서 봤어요!
10,크리스마스 날 황홀경을 선사해주셔서 감사해요.
6,소재를 뛰어 넘기에는 평범한 내용 그리고 상향평준화된 상황에 체감하기 힘든 영상미 그리고 너무나도 길었던 3시간은 생각보다 지루했다.
9,제임스 카메론감독이 일부러 이 시기를 골라서 개봉을 하지 않았을까 하는 생각이 들었다. 많은 사람들이 더더욱 영화를 통해 전쟁과 무력이 얼마나 불필요한 것임을 혹은 무서운 것이라는 것을 알기를 바란다.
6,아 진짜 너무너무너무 기대하고 갔는데 고구마만 500만개 먹은 기분입니다근데 영상미는 진짜 볼만합니다뭔가 너무 어거지고 암튼 좀 실망입니다
1,1점도 아까운 시즌1의 몰락
2,스릴도없구 밋밋한영화 스토리도 없는 극장간거 후회합니다
10,제발 흥행해서 4편5편도 제작비 이번처럼 왕창 들일수있는 영화가되길ㅠㅠ
10,자연보호와 종교신앙적인것이 담긴 영화같네요
1,돈 아까워서 안 나갔는데 3시간 동안 고문이었다. 그리고 여자 아바타 너무 개 못생겨서 짜증이 났다. 우는 소리도 짜증 나고
6,안바도 뻔할듯 평점 높은 쳐준것들은 나만 보고 손해볼수 없다 느낌 영상미는 좋으나 별내용없고 그냥 가족용 초딩영화 에벤져스2 겨울왕국2 느낌
4,뇌빼고 눈으로만 볼거면 추천 스토리는 진짜 노잼임
10,평을 못내리겠어요 너무 완벽합니다나만 슬픈가요?ㅜㅜ
10,영화에 담긴 메세지가 확실하고 영상미가 매우 뛰어난 작품
10,"이 영화를 보기 위해 태어났다 영화보다 심장마비로 돌아가신분 충분히 이해 됨 ㆍ어비스ㆍ터미네이터1,2 ㆍ에일리언2, 타이타닉 그리고 아바타1.2 제임스 카메론이라는 거장과 같은시기를 살았음에 인생 한점 후회가 없음"
10,"""아바타 물의 길""은 전작에서 보았듯이 CG는 두말할 것도 없이 완벽하다. 덕분에 영화를 관람하는 내내 두 눈이 즐거웠다. 제임스 카메론 감독의 완벽주의 성향이 그대로 투영된 영화. 우주선의 점화부터 물속에서 동작하는 동물들과 기계의 움직임 모두 유기적이고 역동적으로 움직여 영화를 관람하는 입장에서 큰 몰입을 받았다. 하지만 이 영화를 평가한 몇몇의 사람들이 말하길 ""CG로 범벅된 진부한 스토리""라고 한다. 그러나 나는 이들이 말하는 진부한 스토리를 좋아한다. 큰 반전은 없지만 보다 담백하게, 보다 현실적이게 스토리를 구성한다. 그리고 그런 스토리에 제임스 카메론 감독만의 서사를 적절히 투영해 말 그대로의 멋진 영화로 탄생했다. ""아바타""라는 영화가 나에게 있어 그런 멋진 영화다."
9,기대이상까진 아니지만 보는동안 그래도 눈은 즐거웠습니다 과하지도 않고 적절한 3d로 크게 어지럽지도 않았어요
10,아름답고 경이롭습니다
8,3시간이라 물빼러 갈시간은 줘야할듯
10,진짜 말이 안나옴 최고!!
10,안보면 후회하니까 꼭 보는걸 추천함
7,3시간 너무 긴 듯
7,"제임스 카메론 감독이 이제 은퇴해야 할 이유를 알려주는 영화. 아바타1 때도.. 중간에 지겨워서 조는 사람들 간간히 보였는데,아바타2는 진짜 중간에 안잔 내가 대견 스러웠다.영화가 3시간이라서 지겨운게 아니라, 너무 뻔한 스토리가 중간에 잠을 불러온다.마틴 스코세이지 감독의 아이리시맨 이라는 3시간 짜리 영화 볼때는시간이 너무 빨리 가서 상당히 아쉬웠다. 이게 바로 스토리의 힘이다.역시 나이는 못속인다. 제임스카메론이 이제 은퇴해야 할때가 온것이다."
10,정말 재밌고 신비 한다 굿
10,재밌었는데?스토리도 좋고 꼭보세욤
6,1편보다 못해요시나리오가 너무 허접..영상미가 아무리 뛰어나도 영화란 모름지기 감동이란게 있어야하는데..ㅠcg도 개인적으론 1편이 더 나음
10,개재밌음 별 기대 안 하고 봤는데 울고 웃고 쌩쇼 다 하고 나옴 진짜 꼭 보셈
10,완벽한 영화우수한 그래픽과 감동과 다 가진 영화
10,초반엔 뭐지 싶었는데 중반부로 갈때부터 웃기면 웃기고 슬프면 슬프고 긴장되면 긴장되는 영화고 장남이 죽을땐 정말 가슴아팠고 마블이 다 망해가는 마당에 거의 최고의 영화였음 3시간이였지만 길어봐야 1시간반정도 라고 생각된다
2,영상미나 CG 그래픽에 관련된 건~ 훌륭해요. 근데.. 스토리가 복수극인가요?
10,아이맥스 3d보았습니다.지루하다는 소리가많아서 걱정했는데솔직히 말하자면 엄청 박진감도 신기함도없음. 그냥 엄청나게 큰 아쿠아리움을 고화질로 보고온듯. 그만큼 cg이질감 1도없음. 실제로 나비족이있는거같음. 2d로보면 감동이 덜할듯하고 후회 돈아까움 1도없음. 좋은 추억거리가생겼네요
10,오래 기다린 보람. 실망시키지 않았다
8,영상미는 좋으나 스토리가 뛰어나다고 느끼지는 못하였음
10,영상미가 좋아요!!!!
10,개멋져요 정말…. 제임스 카메론 천재
8,2D보고 너무 재밌어서 3D로도 관람했네요영상미도 아름답고 ~ 슬프고 감동적이여서 눈물도 났네요
10,ㄹㅇ 너무 슬펐음보다 나도모르게 눈물이 주르륵 나오더라안본사람은 지루해도 꼭 보는걸 추천함메리크리스마스
10,"정말 너무 재밌었고, 영상미가 너무나 좋아 눈을 뗄 수 없었다. 스토리도 정말 감동적이고 다섯번 운거 같다. 최고의 영화. 이 영화만큼은 10점을 줘도 마땅하다 생각한다."
10,명작입니다ㅠㅠ 더이상 말이 필요없어요
2,그래픽은 현란하지만 스토리는 꽝~
10,영원히 기억될 위대한 명작
10,"맞음 CG는 없었음..,..나비족 섭외만...ㅎ 극장에서 안보면 후회할거임.."
7,살아있는 생명들이 기계문명과 싸우는 정복과 피정복의 관계속 한 가족
10,"일본 아이맥스레이저관에서 봤습니다 아바타1은 한국에서 일반상영관에서 봤었고 아이맥스3d는 지금까지 허블3d, 하늘위를 걷는 남자 이렇게 봤었고 세번째가 아바타2였습니다 길게 말 안합니다 이게 3d영화입니다 그냥 아이맥스3d로 보세요 앞서 봤다던 아이맥스3d영화 두개도 3d효과 괜찮다는 평 들었던 영화였습니다만 아바타2의 진짜 발톱각질보다 못합니다 진짜 짧고 굵게 말씀드립니다 닥치고 아이맥스3d로 보세요 3시간이 50분처럼 느껴졌습니다"
10,최고의영화!!11살 무뚝뚝 아들램도 눈물흘리심..감동 그잡채!!!
10,이런 영화를 볼 수 있다는 거에 감사할따름
10,이런 엄청난 영화를 고작 만원대에 감상해도 된다니... 세상에.. 내가 본 영화중 TOP5 안에 드는 초 명작
10,엄첨 재밌고 3D로 봐야 눈 호강을 함
7,아바타1보다 스토리 개연성이 떨어짐등장인물 너무 많아 복잡하고 생김새가 다 똑같음.
10,진짜 짱임 다 할말이 없음
4,13년 걸려서 만들었다고 하기에는 너무 빈약하고 뻔한 스토리
10,"1편에 이은 2편, 역시 기대를 넘어섬. 3D로 봤는데. 4D로 볼걸 후회됨. 이런 영화는 2D보단 3D, 4D가 더 매력적. 우리가족 중간에 화장실 한번 안가고 완전 몰입~~~^^ 애들이 재밌다고 난리.."
8,극장에도 노키즈존 만들어 주세요뒷줄에 앉은 애들 얼마나 시끄러운지ㅠㅠ
10,무조건 영화관에서 봐야하는 영화.영화관에서 못봤다면 재개봉할때까지 기다려라.
10,1퍈보다 더 재미있게 봤음
10,누가 재미없다고 했나...그저 꿀잼..박진감 넘쳤다.
1,스토리 너무 뻔하고 지루해서 돈 아깝네요
10,몰입도 괜찮고 아주 좋았어요
10,오랜만에 영화관에서 푹 빠져서 본 것 같아요강추강추^^~!
8,마지막 부분 보면서 영화관인데도 소리 내면서 울었음. 3D는 머리도 아프고 겹쳐 보이는 것들 있으니 개인적으로는 비추.
2,스토리가 지겨워서 두 시간 있다가 밖에 나갔다 들어옴. 왜 3시간 넘게 만을었을까…
10,담백하고 깔끔 함. 감상내내 스트레스 없이 정서적으로 위로받고 좋았음. 감독의 바다에 대한 사랑과 해박한 지식을 영상을 통해 볼수 있어서 행복했음
1,눈 씻고 봐도 찾을 수 없는 개연성억지 감동 짜내기 억지 위기 만들기답답한 전개 촌스러운 메세지 전달방식고음만 잘 올리고 노래는 못하는 가수 느낌3시간 짜리 그래픽 묘기가 끝인... 최악의 영화
10,"일단 3시간 20분이라는 긴 러닝타임 동안 눈이 너무 즐거웠고, 몰입감도 대박이었던 것 같다. 또한 배우들의 연기력 또한 한 몫을 해서 너무 좋았던 것 같다. 특히 판도라의 바다가 너무 아름다웠다!"
10,2d는 모르겠으나 3d의 몰입감하나는 일품입니다 한장면한장면 저걸 어떻게 찍었을까 감탄하며 봤네요 스토리보단 눈의 즐거움이 상당했네요
10,"성수 부티크 101에서 봤는데 3시간 짜리영화라 들었는데 10분밖에 못봄,.자리가 넘 포근해서... 끝나니 개운ㅜㅜ여친한테 혼남 ㅜㅜ"
9,초중반까지는 지루할 수 있으나 후반부에서 나오는 장면과 가족의 케미는 정말 환상적입니다. 수중 3D는 정말 예술이네요. 잘 봤습니다
10,역대급 무조건 보세요 진짜 꿀잼이었음 ㅜㅜㅜ
10,지루하다고? 3시간동안 화장실 가는사람 한 명도 못봤음.. 3d imax 이상으로보세요
10,3시간동안 나름 흥미진진하게 그리고 판도라행성에 푹빠져서 색다른시간을보냈다 1편만큼이나 재밌게 잘봤음
8,영화시작1시간너무지루하고 잼없고영화시작2시갼3시간그2시간동안 넘몰입해서봤네요.바다스토리는 정말환상입니다
10,세시간 내내 영상미와 스토리에 감동받았어요현실을 잠깐 잊을 수 있는 영화랄까요..너무 아름다웠습니다.
1,"아바타1과 전혀 다를거 없는 여전한 CG떡칠, 거기다 더해진 최악의 배우들의 저급하고 개연성없는 껴넣기 우겨넣기식 필요없는 내용들...아니 도대체 스토리가 항상 왜 이따구임? 주인공은 파괴의 신인 마냥 어딜가나 재앙을 끌고옴 엄청난 기술력을 갖고있는 지구에서 고작 저 나비족들 하나를 점령 못한다고? 일부로 져주는 듯한 느낌에 진부하고 뻔한 스토리 반전없는 그저 그런 시간떼우기 제발 이럴거면 3은 나오지 마시길"
10,"3D 보고왔는데, 3시간이 넘었지만 시간이 엄청 빨리 지나갔어요. 너무 재미있었어요."
10,와~이런걸 만들었다는 것에 놀랄뿐입니다
9,스토리는 평범하고 흔할수는 있어도 눈은 너무 즐거웠습니다 영상미 하나만으로 볼 명분은 충분해요
8,13년만에 다시 나온 이유가있다!
9,3시간이라 오줌참기 개힘든거 빼곤 너무 재밋게봄
8,자식있는 엄마 아빠는 마지막에 눈물콧물 ㅜㅜ
10,그냥 쩜 왜 다들 아바타 아바타 거리는지 알겠음
8,보면서 와 어떻게 만든거냐 라는 소리가 절로 나옴
10,진짜 재밌네요....
10,"진짜 정신없이 본 영화였다 눈이 너무 즐거움 3D보길 잘했다는 생각이 든다.3,4,5편이 더욱 기대된다 2가 많이 흥행했으면 좋겠는데5,60대 부모님들이 보시기에 영화가 조금 길긴한것 같다.그래도 영화관에서 다들 화장실 거의 안가고 잘 보셨다. 3시간 영화라 부담느끼지마시구 시작 30분 전부터 물안마시고 영화볼떄 뭐 안마시면 화장실 갈 걱정은 안해도됨!"
10,"인간에게 던지는 메세지가 분명한 영화, 가족을 다시 보게 하는 영화"
10,진짜꼭보셈 두번보셈 3D로 무조건 ㄱ ㄱ
10,가족애가 느껴지고 영상이 화려해요
10,진짜 너무 재밌음 인생 영화
10,미친cg임눈이 즐거운영화스토리는 무난하고 재밌음
1,재미없어요 시간만 길어요ㅠ
6,아바타2 보고 느낌. 무자식이 상팔자. 이거보면 출산율 더 나락 갈듯 . ㅋㅋㅋ
10,레전드자나~~~~!
10,영상미 ost 너무좋습니다.스토리는 노멀
10,스토리는 평범할 수 있으나 영상미가 정ㅇ말 좋아요
10,아바타이타닉 2022
9,"영상미는 정말 cg와 실사를 구분하기 힘들 정도로 훌륭합니다.근데 마지막에 다같이 싸우러 갔는데, 왜 나비족 사람들만 싸우는지??? 난 물속에서 지낼수있는 그들이 구하러 올지 알았는데…"
8,압도적인 영상이지만 자루한 전개와 스토리
10,3D로 보세요 너무 재밌어요 !!
7,"연출제외하고 말하자면 아니 도대체 왜 마지막에 바다를 고향으로 삼는거임 다끝났으면 그렇게 그리워하던 고향 돌아가야지.. 악당까지 너무 3을 준비하는 게 티나는 결말. 보면서 엥스러운게 많았음 1만큼의 감동은 전혀 볼 수 없음, cg에 돈쓴만큼 당연히 스토리도 탄탄하게 준비했을거라 생각한 내 기대를 와장창 부숨"
6,너~~~무 뻔한 내용ㅠ미국스런 대사ㅠ그 기술로 이런 저급한 싸움?영상미 하나로 보는 영화2022년 현재 그래픽은 어디에 있는지 확인!
10,스토리는 그냥 저냥 평범다만 아바타1 (산이 배경)보다 아바타2가 (바다가 배경이다 보니) 영상미가 훨씬 예쁘고 풍부한 느낌이었다. 다만 10년 전이야 이런 그래픽이 파격적이었기 때문에 희소성이 있었지만 지금은 흔한 그래픽(?)이기 때문에 그때만큼 감흥이 없음. 연말에 그런대로 볼 만하다.
10,대박 이건 영화가 아니야 이건 실제야
5,개인적인생각임을..미리밝힙니다!!!3편을위한..전초전의색깔이..강함!!예상컨데..3편은개봉할것이며..판도라행성을두고..원주인(나비족외다수종족)과하늘사람들(지구를잃어가는지구인들)의최후의전쟁이..예상됨!!!!따라서..평점도..딱중간만?!!ㅋㅋㅋ
10,대작일세 ㄷㄷㅋㅋ....
8,그래픽은 굳~~ 감동 살짝~~스토리는 글쎄요 ㅜ.ㅠ
10,물속에 있는 느낌 대단한 영상미
10,2022년 최고의 영화를 고르라면 탑건2와 아바타2 뭘 고를지 고민이될 정도임. 런닝타임은 길지만 3시간 내내 너무 만족스러웠던 영화. 꼭 3D로 보세요~
8,재밌긴 한데 너무 길어요... 등에 욕창생길뻔..ㅠ
7,다 좋은데 스토리가 겁나 발암걸릴것 같다…ㅠ 마지막 전투씬에 나비족은 다 도망감…?
10,"단 1초도 딴짓을 할 수 없게 만든 영화정말 스토리도 영상도 최고였다.울컥울컥한 씬들도 제법있었고,강추다 강추 인생영화 등극"
10,최고! 너무 재밌다!!
10,체고인데 왜 8.8이지?? 넘 재밋다
10,난 울었다..영화 시각적인 자극 그 이상의 것을 준다..
10,1보다는 못한감이 있지만 좋다
4,자다가 왔슴. 영상만 3시간 보기엔!
8,13년을 기다렸는데... 너무 기대가 컸나봄 1편을 극장에서 3번 봤지만 2편은 1번만으로 족함
9,돌비애트모스 굳국굳
9,뛰어난 영상미와 특수효과!3시간 15분이 흥미진진!
10,아바타가 유명하고 인정받는 이유는 다 있지
10,진짜 꼭 보세요감동 재미 영상미 뭐 하나 빠트릴게 없습니다ㅠㅠ
1,보다가 이렇게 졸린 영화는 처음임
10,어느샌가 영화관 불편해서 오래 못앉아 있게 되었는데 이번엔 3시간 짜리임에도 분구하고 이런 대작은 가서봐야된다 싶어 3D로 관람했는데 너무 잘한거 같아요~ 시간이 언제 가는줄도 모르고 빠져서 보고 나왔어요~ 오랜만에 푹 빠져서 너무 잼있게 봤어요~강추합니다~
10,너무너무너무재미나요ㅋ
7,영상미 좋았지만 플레이타임 너무 길어요
10,베리굿!! 근데 자식을 잃은 슬픔은 아프지만 극복하면서 살아가길!
10,와아 너무 재밌어요.... 꼭 3D로 보시길 추천...ㅠㅠ 눈이 즐거운 영화에요
10,규우우우우구우우우욷
2,네이버 평점이 왜이렇게 높은지 ..?
8,"영상미야 뭐 말할 것 없었지만, 10년의 세월에 대한 기대치가 너무 컸던 건지^^;; 아맥 3D 정 가운데 줄 정중앙에서 봤는데도 그닥 몰입감이 크게 느껴지진 않았네요. 그냥 선명한 2D를 보는 느낌?!(옛날 3D 화면에 비하면 장족의 발전이라고 하나, 완전 빨려가는 느낌을 받고 싶었는데ㅠ 아님 지방 상영관이라 그런건진 몰라도?!) 또한 스토리를 기대 않고 본다 해도 굳이 이걸 3시간 넘게 잡을 필요가 있었는지 좀 의문이 드네요. 다음 편은 2시간 반 내외로 해주면 딱 좋을 것 같네요~!! 그래도 연말에 재밌게 봤습니다."
2,전쟁중에 물의 부족 밥 먹어러 갔나. 맨마지막 상갓집 밥먹어러 모인듯.너무 지루함. 1시간20분짜리면 될듯.
10,나만 당할 수 없다 10점
9,영상이 정말 훌륭합니다.
10,최고에요 역시 아바타네요
4,애정의 시작과 친구가 되는 과정을 조금 줄여주면 러닝타임이 이렇게 까지 길게 안나왔을텐데라는 생각이 드네요
10,영상미 하나로도 시간가는 줄 모르고 봤습니다.
10,3시간내내 집중을 어떻게하나 고민했는데 말이필요없다 3시간내내 풀집중하고 봤네요 크리스마스날 인생영화한편찍음 캬 강추
8,크리스마스 연말 시즌에 코로나도 적당히 풀렸겠다 요즘 볼 영화가 없어서 대박을 친 것 같은데 3D가 더 이상 신선하지 않아서인지 1편만큼의 감동은 없었음. 그리고 제목은 아바타인데 아바타는 하나도 없었음.
10,3D로 보는거 추천드려요!! 자리는 3번째나 4번째가 젤 좋은거 같아요! 진짜 재밌어요
10,너무 감동이고 재밌게 잘봤습니다 3이 기대되네요 ㅠㅠ
9,지루하다는평이 많아서 졸음 올까봐 걱정했는데~무색할만큼 영상미와 스토리도 너무 재밌고 좋았어요~~
10,재미있었어요~ 실망도없공그냥 1편처럼 재미있었어용기대도 안하고가서 그런가?ㅎㅎ볼만해요~
6,앞부분 쪼금 지루함. 별 내용이 없음
10,두번봐도 후회없을 영화
10,영화를 보는 건지 예술을 보는 건지 스토리토 탄탄했고 눈물 감동 웃음 전부 있었어요
10,영화에서 볼 수 있는 가장 최고 수준의 경이로운 아름다움을 봤어요 꼭 다시 보게 되겠네요
